Region,Region Code,Province,Province Code,City,City Code,Barangay,Barangay Code
Region I,010000000,Ilocos Norte,012800000,Adams,012801000,Adams (Pob.),012801001
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Bani,012802001
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Buyon,012802002
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Cabaruan,012802003
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Cabulalaan,012802004
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Cabusligan,012802005
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Cadaratan,012802006
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Calioet-Libong,012802007
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Casilian,012802008
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Corocor,012802009
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Duripes,012802011
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Ganagan,012802012
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Libtong,012802013
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Macupit,012802014
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Nambaran,012802015
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Natba,012802016
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Paninaan,012802017
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Pasiocan,012802018
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Pasngal,012802019
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Pipias,012802020
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Pulangi,012802021
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Pungto,012802022
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Agustin I (Pob.),012802024
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Agustin II (Pob.),012802025
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Andres I (Pob.),012802027
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Andres II (Pob.),012802028
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Gabriel I (Pob.),012802030
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Gabriel II (Pob.),012802031
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Pedro I (Pob.),012802033
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Pedro II (Pob.),012802034
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Roque I (Pob.),012802036
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Roque II (Pob.),012802037
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Simon I (Pob.),012802039
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Simon II (Pob.),012802040
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,San Vicente (Pob.),012802041
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Sangil,012802042
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Santa Filomena I (Pob.),012802044
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Santa Filomena II (Pob.),012802045
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Santa Rita (Pob.),012802046
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Santo Cristo I (Pob.),012802047
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Santo Cristo II (Pob.),012802048
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Tambidao,012802050
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Teppang,012802051
Region I,010000000,Ilocos Norte,012800000,Bacarra,012802000,Tubburan,012802052
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Alay-Nangbabaan,012803001
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Alogoog,012803002
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Ar-arusip,012803003
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Aring,012803004
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Balbaldez,012803005
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Bato,012803006
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Camanga,012803007
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Canaan (Pob.),012803008
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Caraitan,012803009
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Gabut Norte,012803011
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Gabut Sur,012803012
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Garreta (Pob.),012803013
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Labut,012803016
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Lacuben,012803017
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Lubigan,012803018
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Mabusag Norte,012803020
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Mabusag Sur,012803021
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Madupayas,012803022
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Morong,012803023
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Nagrebcan,012803025
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Napu,012803026
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,La Virgen Milagrosa,012803027
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Pagsanahan Norte,012803028
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Pagsanahan Sur,012803029
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Paltit,012803030
Region I,010000000,Ilocos Norte,012800000,Badoc,012803000,Parang,012803031
